,Hydropower,Environment,Recession,Sugar,Cotton
1989-09-29,4438000000.0,1463000000.0,2486000000.0,1570000000.0,4061000000.0
1989-09-30,4454000000.0,1468000000.0,2454000000.0,1573000000.0,4048000000.0
1989-10-01,4466000000.0,1470000000.0,2454000000.0,1573000000.0,4033000000.0
1989-10-02,4478000000.0,1471000000.0,2417000000.0,1573000000.0,4018000000.0
1989-10-03,4496000000.0,1479000000.0,2416000000.0,1579000000.0,4011000000.0
1989-10-04,4509000000.0,1482000000.0,2379000000.0,1581000000.0,3998000000.0
1989-10-05,4518000000.0,1480000000.0,2360000000.0,1579000000.0,3982000000.0
1989-10-06,4528000000.0,1479000000.0,2320000000.0,1577000000.0,3968000000.0
1989-10-07,4535000000.0,1475000000.0,2295000000.0,1574000000.0,3952000000.0
1989-10-08,4542000000.0,1470000000.0,2253000000.0,1570000000.0,3937000000.0
1989-10-09,4547000000.0,1464000000.0,2223000000.0,1564000000.0,3921000000.0
1989-10-10,4551000000.0,1457000000.0,2181000000.0,1558000000.0,3906000000.0
1989-10-11,4555000000.0,1450000000.0,2149000000.0,1552000000.0,3892000000.0
1989-10-12,4559000000.0,1442000000.0,2108000000.0,1547000000.0,3840000000.0
1989-10-13,4567000000.0,1439000000.0,2084000000.0,1546000000.0,3765000000.0
1989-10-14,4573000000.0,1434000000.0,2048000000.0,1543000000.0,3695000000.0
1989-10-15,4578000000.0,1427000000.0,2023000000.0,1539000000.0,3612000000.0
1989-10-16,4588000000.0,1425000000.0,1995000000.0,1540000000.0,3545000000.0
1989-10-17,4610000000.0,1436000000.0,1991000000.0,1555000000.0,3481000000.0
1989-10-18,4627000000.0,1441000000.0,1972000000.0,1563000000.0,3429000000.0
1989-10-19,4684000000.0,1488000000.0,2022000000.0,1614000000.0,3405000000.0
1989-10-20,4761000000.0,1553000000.0,2105000000.0,1684000000.0,3449000000.0
1989-10-21,4828000000.0,1607000000.0,2179000000.0,1742000000.0,3500000000.0
1989-10-22,4871000000.0,1636000000.0,2230000000.0,1776000000.0,3529000000.0
1989-10-23,4899000000.0,1650000000.0,2265000000.0,1794000000.0,3545000000.0
1989-10-24,4917000000.0,1655000000.0,2291000000.0,1803000000.0,3551000000.0
1989-10-25,4930000000.0,1654000000.0,2312000000.0,1807000000.0,3525000000.0
1989-10-26,4940000000.0,1650000000.0,2329000000.0,1809000000.0,3488000000.0
1989-10-27,4947000000.0,1644000000.0,2344000000.0,1808000000.0,3435000000.0
1989-10-28,4954000000.0,1637000000.0,2359000000.0,1806000000.0,3389000000.0
1989-10-29,4959000000.0,1629000000.0,2372000000.0,1804000000.0,3320000000.0
1989-10-30,4964000000.0,1620000000.0,2384000000.0,1801000000.0,3271000000.0
1989-10-31,4969000000.0,1612000000.0,2397000000.0,1799000000.0,3204000000.0
1989-11-01,4975000000.0,1604000000.0,2410000000.0,1798000000.0,3154000000.0
1989-11-02,4980000000.0,1596000000.0,2405000000.0,1797000000.0,3090000000.0
1989-11-03,4985000000.0,1587000000.0,2401000000.0,1794000000.0,3038000000.0
1989-11-04,4988000000.0,1576000000.0,2384000000.0,1791000000.0,2974000000.0
1989-11-05,4992000000.0,1566000000.0,2377000000.0,1789000000.0,2922000000.0
1989-11-06,4996000000.0,1556000000.0,2361000000.0,1787000000.0,2862000000.0
1989-11-07,5003000000.0,1550000000.0,2358000000.0,1788000000.0,2815000000.0
1989-11-08,5011000000.0,1543000000.0,2346000000.0,1789000000.0,2761000000.0
1989-11-09,5017000000.0,1534000000.0,2342000000.0,1790000000.0,2716000000.0
1989-11-10,5021000000.0,1525000000.0,2328000000.0,1788000000.0,2663000000.0
1989-11-11,5025000000.0,1514000000.0,2322000000.0,1787000000.0,2618000000.0
1989-11-12,5029000000.0,1503000000.0,2309000000.0,1785000000.0,2567000000.0
1989-11-13,5032000000.0,1492000000.0,2303000000.0,1783000000.0,2525000000.0
1989-11-14,5036000000.0,1481000000.0,2291000000.0,1782000000.0,2478000000.0
1989-11-15,5040000000.0,1470000000.0,2285000000.0,1780000000.0,2438000000.0
1989-11-16,5043000000.0,1458000000.0,2274000000.0,1778000000.0,2393000000.0
1989-11-17,5046000000.0,1446000000.0,2269000000.0,1776000000.0,2357000000.0
1989-11-18,5050000000.0,1435000000.0,2259000000.0,1775000000.0,2316000000.0
1989-11-19,5060000000.0,1431000000.0,2263000000.0,1781000000.0,2290000000.0
1989-11-20,5067000000.0,1423000000.0,2258000000.0,1784000000.0,2256000000.0
1989-11-21,5073000000.0,1413000000.0,2253000000.0,1785000000.0,2222000000.0
1989-11-22,5077000000.0,1403000000.0,2244000000.0,1785000000.0,2184000000.0
1989-11-23,5081000000.0,1391000000.0,2234000000.0,1784000000.0,2147000000.0
1989-11-24,5085000000.0,1379000000.0,2223000000.0,1784000000.0,2108000000.0
1989-11-25,5097000000.0,1376000000.0,2221000000.0,1792000000.0,2079000000.0
1989-11-26,5115000000.0,1379000000.0,2224000000.0,1806000000.0,2056000000.0
1989-11-27,5132000000.0,1380000000.0,2229000000.0,1819000000.0,2035000000.0
1989-11-28,5146000000.0,1378000000.0,2229000000.0,1828000000.0,2009000000.0
1989-11-29,5155000000.0,1372000000.0,2226000000.0,1833000000.0,1981000000.0
1989-11-30,5162000000.0,1363000000.0,2219000000.0,1835000000.0,1950000000.0
1989-12-01,5167000000.0,1352000000.0,2212000000.0,1836000000.0,1919000000.0
